n_nodes,n_edges,time_rdd,time_df,iters_rdd,iters_df,components_rdd,components_df
1000,3000,3.069,15.301,6,6,1,1
5000,15000,6.046,16.728,6,6,1,1
10000,30000,5.818,16.298,6,6,1,1
50000,150000,11.716,44.099,7,7,2,2
100000,300000,31.682,76.002,7,7,3,3
